District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),Humidity_max (%),wind_speed_min (Kmph),wind_speed_max (Kmph)
Adilabad,Bheempoor,2019-07-01,3.5,23.9,30.1,74.2,94.6,0.6,2.6
Adilabad,Bheempoor,2019-07-02,0.0,23.5,30.9,68.2,91.8,0.1,2.6
Adilabad,Bheempoor,2019-07-03,40.5,25.0,32.4,67.2,95.3,0.2,3.9
Adilabad,Bheempoor,2019-07-04,20.0,25.2,31.5,66.6,96.3,0.0,3.1
Adilabad,Bheempoor,2019-07-05,1.0,26.2,33.8,57.9,92.5,0.2,3.5
Adilabad,Bheempoor,2019-07-06,8.5,25.2,33.6,55.9,91.2,0.7,3.3
Adilabad,Bheempoor,2019-07-07,1.8,25.5,32.9,65.6,92.1,0.2,3.3
Adilabad,Bheempoor,2019-07-08,0.0,25.7,32.7,64.6,87.6,0.2,3.9
Adilabad,Bheempoor,2019-07-09,6.8,25.2,33.8,59.3,94.5,0.1,4.5
Adilabad,Bheempoor,2019-07-10,16.3,24.0,32.2,65.4,96.6,0.0,4.0
Adilabad,Bheempoor,2019-07-11,0.0,26.9,35.2,54.5,81.6,0.2,2.6
Adilabad,Bheempoor,2019-07-12,8.8,24.9,32.4,67.8,91.9,0.1,3.3
Adilabad,Bheempoor,2019-07-13,0.0,27.1,35.1,54.8,80.4,0.0,2.6
Adilabad,Bheempoor,2019-07-14,3.5,26.2,36.7,45.5,94.6,0.0,2.8
Adilabad,Bheempoor,2019-07-15,0.8,26.9,36.5,48.2,93.0,0.0,3.1
Adilabad,Bheempoor,2019-07-16,0.0,25.6,36.5,42.1,86.1,0.0,3.4
Adilabad,Bheempoor,2019-07-17,0.0,26.4,37.0,44.7,78.0,0.0,10.6
Adilabad,Bheempoor,2019-07-18,0.0,27.6,37.9,41.9,72.9,0.0,15.3
Adilabad,Bheempoor,2019-07-19,0.0,25.6,38.2,39.1,90.1,0.0,15.5
Adilabad,Bheempoor,2019-07-20,0.0,27.1,36.8,51.4,86.2,0.0,5.6
Adilabad,Bheempoor,2019-07-21,11.0,25.0,34.4,63.6,98.0,0.0,4.7
Adilabad,Bheempoor,2019-07-22,0.0,27.1,36.4,56.9,92.6,0.0,2.8
Adilabad,Bheempoor,2019-07-23,0.0,27.7,36.4,54.3,90.7,0.0,5.2
Adilabad,Bheempoor,2019-07-24,0.0,28.0,37.1,54.3,80.7,0.0,7.8
Adilabad,Bheempoor,2019-07-25,0.0,28.2,37.2,51.8,79.2,0.0,5.4
Adilabad,Bheempoor,2019-07-26,6.2,24.9,34.5,58.2,96.5,0.0,11.5
Adilabad,Bheempoor,2019-07-27,7.4,24.3,27.3,85.8,97.8,0.0,1.9
Adilabad,Bheempoor,2019-07-28,20.0,23.8,28.1,81.7,98.1,0.0,2.7
Adilabad,Bheempoor,2019-07-29,11.4,24.2,28.4,84.4,97.9,0.0,6.1
Adilabad,Bheempoor,2019-07-30,92.4,23.1,25.0,96.6,99.2,0.0,2.2
Adilabad,Bheempoor,2019-07-31,33.2,23.3,25.0,93.2,98.6,0.0,3.7
Adilabad,Bheempoor,2019-08-01,5.4,24.5,29.5,79.3,98.9,0.0,7.8
Adilabad,Bheempoor,2019-08-02,0.5,24.9,28.5,83.2,96.4,0.0,2.9
Adilabad,Bheempoor,2019-08-03,9.3,24.5,28.4,81.0,95.4,0.9,2.7
Adilabad,Bheempoor,2019-08-04,7.8,24.4,26.7,82.8,98.3,0.2,3.5
Adilabad,Bheempoor,2019-08-05,0.0,26.2,31.3,73.3,83.3,0.8,3.4
Adilabad,Bheempoor,2019-08-06,0.0,24.9,33.0,70.8,89.6,0.7,3.4
Adilabad,Bheempoor,2019-08-07,2.3,25.1,30.6,73.6,94.0,0.2,3.5
Adilabad,Bheempoor,2019-08-08,11.0,24.7,28.0,86.5,95.0,0.7,2.8
Adilabad,Bheempoor,2019-08-09,27.3,24.5,26.3,83.7,96.7,0.5,4.2
Adilabad,Bheempoor,2019-08-10,0.0,26.5,31.9,68.9,87.4,0.4,3.6
Adilabad,Bheempoor,2019-08-11,0.0,24.7,33.1,62.1,94.9,0.0,3.2
Adilabad,Bheempoor,2019-08-12,0.0,25.0,34.0,62.6,94.6,0.0,2.1
Adilabad,Bheempoor,2019-08-13,14.0,26.0,32.9,63.0,96.5,0.0,2.5
Adilabad,Bheempoor,2019-08-14,9.0,24.5,28.8,80.1,97.6,0.0,1.8
Adilabad,Bheempoor,2019-08-15,0.0,25.6,32.1,69.2,96.1,0.0,2.8
Adilabad,Bheempoor,2019-08-16,0.0,25.9,33.7,60.8,94.5,0.0,3.1
Adilabad,Bheempoor,2019-08-17,0.0,24.2,33.7,57.8,96.4,0.0,2.1
Adilabad,Bheempoor,2019-08-18,0.0,25.6,34.1,57.9,95.3,0.0,1.7
Adilabad,Bheempoor,2019-08-19,0.0,24.9,32.9,59.4,91.8,0.0,2.3
Adilabad,Bheempoor,2019-08-20,0.0,25.4,33.2,65.4,91.6,0.2,2.4
Adilabad,Bheempoor,2019-08-21,0.5,25.6,33.2,64.7,94.6,0.0,2.7
Adilabad,Bheempoor,2019-08-22,0.0,25.5,32.6,68.9,88.8,0.3,2.5
Adilabad,Bheempoor,2019-08-23,2.0,24.4,31.3,70.6,96.7,0.0,2.3
Adilabad,Bheempoor,2019-08-24,0.0,24.8,29.2,78.9,95.6,0.0,2.1
Adilabad,Bheempoor,2019-08-25,4.0,25.2,31.6,70.0,93.6,0.2,2.5
Adilabad,Bheempoor,2019-08-26,0.0,24.6,27.9,79.3,94.3,0.3,3.1
Adilabad,Bheempoor,2019-08-27,1.8,22.4,29.3,74.1,96.1,0.0,2.7
Adilabad,Bheempoor,2019-08-28,6.3,23.9,29.5,73.0,97.4,0.0,2.8
