,State,District,Date,Year,Month,Avg_smlvl_at15cm,Agency_name
0,Telangana,Adilabad,01-01-2019,2019,1,7.5723964,NRSC VIC MODEL
1,Telangana,Adilabad,02-01-2019,2019,1,7.4974764,NRSC VIC MODEL
2,Telangana,Adilabad,03-01-2019,2019,1,7.4229751,NRSC VIC MODEL
3,Telangana,Adilabad,04-01-2019,2019,1,7.3498281,NRSC VIC MODEL
4,Telangana,Adilabad,05-01-2019,2019,1,7.2795851,NRSC VIC MODEL
5,Telangana,Adilabad,06-01-2019,2019,1,7.2192264,NRSC VIC MODEL
6,Telangana,Adilabad,07-01-2019,2019,1,7.1580656,NRSC VIC MODEL
7,Telangana,Adilabad,08-01-2019,2019,1,7.1275031,NRSC VIC MODEL
8,Telangana,Adilabad,09-01-2019,2019,1,7.0796281,NRSC VIC MODEL
9,Telangana,Adilabad,10-01-2019,2019,1,7.0397398,NRSC VIC MODEL
10,Telangana,Adilabad,11-01-2019,2019,1,7.0019175,NRSC VIC MODEL
11,Telangana,Adilabad,12-01-2019,2019,1,6.9696671,NRSC VIC MODEL
12,Telangana,Adilabad,13-01-2019,2019,1,6.9359089,NRSC VIC MODEL
13,Telangana,Adilabad,14-01-2019,2019,1,6.9116256,NRSC VIC MODEL
14,Telangana,Adilabad,15-01-2019,2019,1,6.8875101,NRSC VIC MODEL
15,Telangana,Adilabad,16-01-2019,2019,1,6.8645205,NRSC VIC MODEL
16,Telangana,Adilabad,17-01-2019,2019,1,6.8463528,NRSC VIC MODEL
17,Telangana,Adilabad,18-01-2019,2019,1,6.8295389,NRSC VIC MODEL
18,Telangana,Adilabad,19-01-2019,2019,1,6.8141783,NRSC VIC MODEL
19,Telangana,Adilabad,20-01-2019,2019,1,6.8016766,NRSC VIC MODEL
20,Telangana,Adilabad,21-01-2019,2019,1,6.7841933,NRSC VIC MODEL
21,Telangana,Adilabad,22-01-2019,2019,1,6.7719143,NRSC VIC MODEL
22,Telangana,Adilabad,23-01-2019,2019,1,6.7598927,NRSC VIC MODEL
23,Telangana,Adilabad,24-01-2019,2019,1,6.7547307,NRSC VIC MODEL
24,Telangana,Adilabad,25-01-2019,2019,1,10.181728,NRSC VIC MODEL
25,Telangana,Adilabad,26-01-2019,2019,1,10.373438,NRSC VIC MODEL
26,Telangana,Adilabad,27-01-2019,2019,1,10.2893327,NRSC VIC MODEL
27,Telangana,Adilabad,28-01-2019,2019,1,10.2119139,NRSC VIC MODEL
28,Telangana,Adilabad,29-01-2019,2019,1,10.1542111,NRSC VIC MODEL
29,Telangana,Adilabad,30-01-2019,2019,1,10.0927988,NRSC VIC MODEL
30,Telangana,Adilabad,31-01-2019,2019,1,10.0347802,NRSC VIC MODEL
31,Telangana,Bhadradri Kothagudem,01-01-2019,2019,1,20.6165095,NRSC VIC MODEL
32,Telangana,Bhadradri Kothagudem,02-01-2019,2019,1,20.2965984,NRSC VIC MODEL
